9773,2
27730,9
45070,85
65376,7
91404,92
120941,48
156072,20
198300,7
268235,19
344050,134
419418,120
491657,104
568152,77
635310,65
695405,17
753900,94
821827,13
888826,120
960910,71
1029409,42
1099000,151
1164663,113
1231084,59
1291030,8
1352075,85
1418877,13
1491518,116
1567372,89
1636376,74
1708115,33
1773967,2
1849240,101
1923825,84
2002905,64
2078533,62
2154100,46
2231221,30
2308754,20
2383833,11
2455290,146
2524169,114
2597739,73
2669763,49
2749046,20
2824375,18
2899910,2
2967754,137
3037142,92
3099751,52
3171729,139
3230237,110
3303026,29
3377831,2
3453928,136
3531978,122
3600937,115
3668891,74
3738063,29
3802026,141
3868414,81
3944551,30
4020809,17
4095507,3
4165651,137
4228191,100
4286669,35
4346276,106
4414448,29
4491992,137
4567731,128
4643647,113
4719558,99
4799655,84
4876757,86
4956024,76
5033125,74
5111189,63
5183581,57
5261344,29
5337885,22
5412925,9
5487523,144
5561819,124
5635926,103
5711269,82
5788935,65
5864025,57
5940151,39
6016577,25
6093558,12
6169018,2
6243264,138
6318490,117
6390814,99
6463809,71
6537193,45
6613338,21
6686396,7
6759517,134
6833185,108
6909203,85
6981916,71
7055212,44
7130077,20
7206263,1
7281082,139
7357365,121
7432940,108
7510930,92
7585348,85
7662466,65
7739742,55
7818234,45
7894953,41
7969876,29
8044690,10
8120669,144
8197633,129
8275984,119
8353571,114
8431292,105
8507554,97
8583281,84
8660618,69
8733928,60
8808557,35
8887275,16
8964847,12
9041407,3
9115820,143
9192498,123
9269514,111
9345951,101
9417440,88
9493558,57
9570466,43
9646350,32
9722051,18
9798320,2
9876117,141
9951063,134
10027011,115
10100984,101
10177793,79
10253576,67
10329614,52
10405315,38
10483527,23
10560389,17
10636504,6
10713990,144
10791407,136
10869387,126
10943831,120
11005981,100
11067638,33
11124235,116
11196505,28
11272367,151
11348179,136
11422732,121
11500177,101
11565794,93
11641670,39
11716884,24
11791957,7
11868568,141
11944808,129
12020220,116
12095861,99
12172728,84
12250871,73
12328260,66
12403640,58
12480657,41
12559363,31
12633875,27
12711235,7
12787801,150
12864520,138
12935597,126
13011939,93
13088327,80
13164759,67
13240430,54
13314989,39
13390307,19
13468527,3
13544652,149
13623343,135
13698788,131
13776762,115
13851428,108
13926446,89
14005299,71
14082625,68
14158358,58
14234051,43
14309449,28
14387791,11
