29378,58
71154,77
124017,130
166634,120
236683,167
288347,331
336500,286
398896,282
458833,462
496093,355
574817,603
625648,528
687264,479
765974,724
819442,644
909066,670
998278,692
1105581,765
1179148,981
1295061,1079
1370995,1054
1440684,1011
1547352,1074
1654448,1138
1765672,1213
1856803,1492
1930003,1444
2012078,1435
2100007,1444
2212357,1520
2325635,1596
2438910,1673
2549779,1749
2664120,1826
2766546,2153
2849977,2130
2970872,2230
3075584,2283
3178468,2328
3262110,2314
3349678,2313
3450024,2362
3564528,2439
3669360,2772
3775457,2822
3843688,2761
3949632,2812
4040206,2821
4127753,2821
4239930,2897
4352605,2973
4464891,3049
4564968,3363
4651719,3356
4747240,3380
4842474,3407
4941967,3438
5027298,3433
5140339,3509
5252009,3585
5364664,3661
5477345,3738
5568689,4025
5674481,4082
5744161,4027
5812563,3969
5905378,4260
5992149,4256
6067506,4214
6150992,4198
6263272,4275
6360382,4581
6405473,4444
6488545,4428
6600002,4505
6696811,4808
6758005,4724
6825442,4658
6939339,4734
7051978,4768
7163761,4844
7274912,4921
7313015,5039
7337856,5118
7454059,5201
7539038,5090
7637113,5106
7722598,5111
7833920,5187
7873575,5300
7951934,5264
8048079,5567
8137070,5526
8229954,5542
